fid,Latitud,Longitud,Fecha,foto,class,type
191,-3.8279,-73.3295,2023-04-01,DCIM/cobertura_20230401121147462.jpg,Vegetation,cobertura
192,-3.8287,-73.3296,2023-04-01,DCIM/cobertura_20230401121308698.jpg,Vegetation,cobertura
193,-3.8292,-73.3299,2023-04-01,DCIM/cobertura_20230401121626106.jpg,Vegetation,cobertura
194,-3.8288,-73.3312,2023-04-01,DCIM/cobertura_20230401122015453.jpg,Vegetation,cobertura
195,-3.8285,-73.3303,2023-04-01,DCIM/cobertura_20230401122241564.jpg,Vegetation,cobertura
196,-3.8278,-73.3303,2023-04-01,DCIM/cobertura_20230401122504720.jpg,Vegetation,cobertura
197,-3.8272,-73.3302,2023-04-01,DCIM/cobertura_20230401122710484.jpg,Vegetation,cobertura
198,-3.8262,-73.3301,2023-04-01,DCIM/cobertura_20230401123044134.jpg,Vegetation,cobertura
199,-3.8256,-73.3301,2023-04-01,DCIM/cobertura_20230401123207492.jpg,Vegetation,cobertura
200,-3.8247,-73.3301,2023-04-01,DCIM/cobertura_20230401123354392.jpg,Vegetation,cobertura
201,-3.8242,-73.3297,2023-04-01,DCIM/cobertura_20230401123528226.jpg,Vegetation,cobertura
202,-3.8282,-73.3524,2023-04-02,DCIM/cobertura_20230402150051043.jpg,Vegetation,cobertura
203,-3.8285,-73.3524,2023-04-02,DCIM/cobertura_20230402150255518.jpg,Vegetation,cobertura
204,-3.8292,-73.3525,2023-04-02,DCIM/cobertura_20230402150514748.jpg,Vegetation,cobertura
205,-3.8294,-73.3531,2023-04-02,DCIM/cobertura_20230402151121110.jpg,Vegetation,cobertura
206,-3.8291,-73.3534,2023-04-02,DCIM/cobertura_20230402151236631.jpg,Vegetation,cobertura
207,-3.829,-73.3537,2023-04-02,DCIM/cobertura_20230402151513205.jpg,Vegetation,cobertura
208,-3.8288,-73.354,2023-04-02,DCIM/cobertura_20230402151714726.jpg,Vegetation,cobertura
209,-3.8286,-73.3544,2023-04-02,DCIM/cobertura_20230402152215030.jpg,Vegetation,cobertura
210,-3.8285,-73.3547,2023-04-02,DCIM/cobertura_20230402152525037.jpg,Vegetation,cobertura
211,-3.829,-73.3547,2023-04-02,DCIM/cobertura_20230402152700207.jpg,Vegetation,cobertura
212,-3.8294,-73.3552,2023-04-02,DCIM/cobertura_20230402152909129.jpg,Vegetation,cobertura
213,-3.8289,-73.3555,2023-04-02,DCIM/cobertura_20230402153101193.jpg,Vegetation,cobertura
214,-3.8293,-73.3559,2023-04-02,DCIM/cobertura_20230402153307107.jpg,Vegetation,cobertura
215,-3.8295,-73.3566,2023-04-02,DCIM/cobertura_20230402153426489.jpg,Vegetation,cobertura
216,-3.8288,-73.3544,2023-04-02,DCIM/cobertura_20230402153814670.jpg,Vegetation,cobertura
217,-3.8284,-73.3556,2023-04-02,DCIM/cobertura_20230402154031200.jpg,Vegetation,cobertura
218,-3.8287,-73.3534,2023-04-02,DCIM/cobertura_20230402154519811.jpg,Vegetation,cobertura
219,-3.8591,-73.4116,2023-03-25,DCIM/criadero_20230325152102564.jpg,Objects or waste material,criadero
220,-4.2168,-73.4834,2023-03-26,DCIM/criadero_20230326120037952.jpg,Standing water,criadero
221,-4.2179,-73.4835,2023-03-26,DCIM/criadero_20230326120949794.jpg,Standing water,criadero
222,-4.2187,-73.4835,2023-03-26,DCIM/criadero_20230326121628189.jpg,Standing water,criadero
223,-4.2191,-73.4833,2023-03-26,DCIM/criadero_20230326122124329.jpg,Objects or waste material,criadero
224,-4.2193,-73.4833,2023-03-26,DCIM/criadero_20230326122251244.jpg,Standing water,criadero
225,-4.2194,-73.4838,2023-03-26,DCIM/criadero_20230326122503709.jpg,Standing water,criadero
226,-4.2205,-73.4852,2023-03-26,DCIM/criadero_20230326123255891.jpg,Standing water,criadero
227,-4.2209,-73.4829,2023-03-26,DCIM/criadero_20230326124159279.jpg,Standing water,criadero
228,-4.1043,-73.4556,2023-03-30,DCIM/criadero_20230330094531775.jpg,Standing water,criadero
